source_table,hub_code,columns,provenance
BJAZ_SUPER_SURAKSHA_DTLS,HUB_PARTY,USER_ID,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_DISTRIBUTION_CHANNEL,SUBIMD_CODE,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_LOCATION,LOCATION_CODE,discovered
BJAZ_SUPER_SURAKSHA_DTLS,HUB_ASSESSMENT,SCRUTINY_NO,discovered
BJAZ_TPCLM_COURT_DTL_EXTN,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_TPCLM_HOSPITAL_DTL,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_TPCLM_HOSPITAL_TRAN_DTL,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_TRV_CLM_ITRACK_DTLS,HUB_POLICY,POLICY_NO,discovered
BJAZ_TRV_CLM_ITRACK_DTLS,HUB_CASE,ITRACK_NO,discovered
BJAZ_WG_INSPECTION_DTLS,HUB_CLAIM,CLAIM_ID,discovered
NG_HCM_INWARD_DETAILS,HUB_LOCATION,LOCATIONCODE,discovered
NG_HCM_INWARD_DETAILS,HUB_DOCUMENT,INWARD_ID,discovered
T_PREM_DATA_COM,HUB_POLICY,CONTRACT_ID,discovered
T_PREM_DATA_COM,HUB_POLICY,POLICY_REF,discovered
T_PREM_DATA_COM,HUB_COVERAGE,COVER_CODE,discovered
T_PREM_DATA_COM,HUB_PRODUCT,PRODUCT_CODE,discovered
T_PREM_DATA_COM,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
T_PREM_DATA_COM,HUB_ORG_UNIT,BRANCH_CODE,discovered
T_PREM_DATA_COM,HUB_ORG_UNIT,DEPARTMENT_CODE,discovered
